Date,DZD,ARS,AUD,BRL,CAD,CLP,CNY,TWD,COP,EUR,CZK,DKK,HKD,HUF,ISK,INR,IDR,ILS,JPY,KRW,MYR,MXN,NZD,NOK,PEN,PHP,PLN,RON,RUB,SAR,SGD,ZAR,SEK,CHF,THB,TRY,AED,GBP,USD,VEF
1996-01-01,,,,,,,,,987.65,,,,,,,,,,,,,,,,,,,,4.64,,,,,,,,,,1,
1996-01-02,52.175,1,1.347344,0.9723,1.360997,406.91,8.338,27.27,987.65,0.758956,26.621964,5.540999,7.734,139.579539,,35.21,,3.127,103.699909,775.8,2.5413,7.659153,1.53139,6.313494,2.3235,26.228,2.47,0.258,4.64,3.7505,1.4157,3.64405,6.600395,1.149499,25.19,0.0596501214329,3.671,0.644205,1,0.29
1996-01-03,52.1876,1,1.338687,0.973,1.354503,405.53,8.3391,27.27,994.31,0.762585,26.688019,5.570505,7.7345,139.700152,65.31,35.22,2284.5,3.128,104.500011,778.5,2.5472,7.516033,1.527419,6.339998,2.341,26.226,2.4755,0.258,4.64,3.7505,1.419,3.633098,6.599902,1.159197,25.23,0.060652924893,3.671,0.64433,1,0.29
1996-01-04,52.3515,1,1.34085,0.9722,1.352002,404.76,8.3403,27.33,994.5,0.767006,26.821065,5.606518,7.7345,140.250198,65.64,35.32,2289,3.134,105.970378,787.3,2.5608,7.593824,1.526726,6.38302,2.344,26.222,2.487,0.258501,4.64,3.7505,1.431,3.630817,6.623523,1.168803,25.27,0.0599868074891,3.671,0.644872,1,0.29
1996-01-05,52.1692,1,1.343184,0.9721,1.358996,407.33,8.3404,27.32,998.68,0.764602,26.793947,5.57849,7.7343,139.939749,65.59,35.44,2288,3.133,104.950033,788.3,2.553,7.578888,1.523691,6.355991,2.3345,26.224,2.4865,0.258299,4.661,3.7505,1.4235,3.628296,6.603791,1.162998,25.25,0.0592375388991,3.671,0.645285,1,0.29
1996-01-06,,,,,,,,,997.06,,,,,,,,,,,,,,,,2.339,,,,,,,,,,,,,,1,
1996-01-07,,,,,,,,,997.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
1996-01-08,52.3664,1,1.341378,0.9721,1.359998,406.16,8.3415,27.38,997.06,0.763452,26.71792,5.565978,7.734,139.299456,65.45,35.85,2293,3.137,105.449521,788.3,2.5583,7.515803,1.519292,6.346477,,26.236,2.483,0.258699,4.661,3.7505,1.426,3.632489,6.628672,1.162592,25.26,0.0590446161363,3.671,0.64466,1,0.29
1996-01-09,52.3068,1,1.344629,0.9712,1.363,406.43,8.3414,27.39,997.06,0.765791,26.787968,5.587492,7.7335,139.589843,65.55,35.87,2293.5,3.128,105.249495,787.2,2.559,7.502987,1.520914,6.35849,2.3435,26.245,2.4875,0.2586,4.661,3.7508,1.4237,3.628247,6.615895,1.168596,25.5,0.0591297555596,3.671,0.645577,1,0.29
1996-01-10,52.6376,1,1.344446,0.9722,1.362504,407.54,8.3408,27.39,1003.44,0.763231,26.744974,5.563501,7.733,139.210209,65.46,35.8,2291,3.121,104.699974,787.9,2.555,7.529423,1.519294,6.328304,2.358,26.231,2.4865,0.2588,4.668,3.7507,1.424,3.624552,6.579101,1.162698,25.25,0.0592847002793,3.671,0.646705,1,0.29
