Date,DZD,ARS,AUD,BRL,CAD,CLP,CNY,TWD,COP,EUR,CZK,DKK,HKD,HUF,ISK,INR,IDR,ILS,JPY,KRW,MYR,MXN,NZD,NOK,PEN,PHP,PLN,RON,RUB,SAR,SGD,ZAR,SEK,CHF,THB,TRY,AED,GBP,USD,VEF
1996-01-01,53.002523,1,1.348737,0.9745238095238,1.366732,408.531818,8.3384,27.405714,1010.221613,0.774231,27.0021,5.653162,7.732876,141.920038,66.153333,35.811667,2290.442857,3.129545,105.630556,787.133333,2.55629,7.4637,1.511416,6.416198,2.3471590909091,26.211636,2.511705,0.260177,4.677304,3.750523,1.421124,3.641395,6.728912,1.179595,25.298095,0.0604811065438,3.671,0.653484,1,0.29
1996-02-01,53.329557,1,1.323591,0.98096,1.375747,410.965714,8.33375,27.4845,1029.086897,0.776076,27.059282,5.669999,7.732315,144.400892,66.251905,36.5945,2301.285714,3.113143,105.61657,780.115,2.548705,7.521148,1.480767,6.403023,2.3535952380952,26.158762,2.543714,0.278352,4.758619,3.750505,1.411545,3.751863,6.879822,1.195077,25.2495,0.0641507116581,3.671,0.651034,1,0.29
1996-03-01,53.564924,1,1.296627,0.986175,1.365343,411.546667,8.349543,27.4,1044.969355,0.780439,27.267461,5.707859,7.732467,146.035576,66.32619,34.485238,2330.833333,3.099105,105.885116,781.314286,2.541748,7.570418,1.467868,6.42795,2.3552857142857,26.195667,2.575667,0.287586,4.833095,3.750452,1.409533,3.926951,6.736416,1.195995,25.250476,0.0684579681873,3.671,0.654791,1,0.29
1996-04-01,53.830377,1,1.271571,0.9897818181818,1.358626,408.424762,8.35145,27.187727,1050.696667,0.791252,27.535023,5.810979,7.734495,148.831031,66.827222,34.319545,2329.690476,3.164875,107.215565,780.418182,2.511327,7.452272,1.465499,6.49627,2.363875,26.189684,2.6232,0.291105,4.897864,3.750359,1.40845,4.21678,6.719819,1.22011,25.29,0.0730083656205,3.671,0.659891,1,0.34843
1996-05-01,54.819118,1,1.253979,0.9950318181818,1.369328,406.230476,8.347864,27.351818,1065.76871,0.802151,27.714065,5.919348,7.736268,151.91432,67.3435,35.025,2329.552174,3.25275,106.340803,780.859091,2.493636,7.44269,1.458211,6.578051,2.4091363636364,26.175857,2.674778,0.29319,4.97413,3.750455,1.40735,4.376494,6.801176,1.254708,25.289091,0.0768035182513,3.671,0.659888,1,0.469536
1996-06-01,55.144368,1,1.263333,1.00133,1.365744,409.846842,8.34236,27.674,1071.612,0.798146,27.786433,5.889573,7.74036,152.790889,67.213158,35.0995,2329.8925,3.2555,108.860999,798.45,2.496695,7.562201,1.478448,6.532872,2.43935,26.194421,2.715211,0.299175,5.053,3.750495,1.409025,4.351923,6.681047,1.256685,25.354,0.0797750828943,3.671,0.648515,1,0.471626
1996-07-01,55.098896,1,1.266893,1.0069,1.369369,410.723043,8.340932,27.572727,1063.966774,0.787101,27.068854,5.799194,7.737859,153.140453,66.747826,35.667273,2334.117391,3.179476,109.243838,813.031818,2.491514,7.622425,1.450046,6.450128,2.4443636363636,26.199545,2.714848,0.306778,5.145522,3.750504,1.416023,4.390807,6.641507,1.233069,25.355,0.0827115200341,3.671,0.643523,1,0.471085
1996-08-01,55.21875,1,1.276846,1.0146909090909,1.372176,411.100476,8.337923,27.496364,1045.032258,0.77928,26.495623,5.730683,7.734536,153.952834,66.292857,35.8,2341.965909,3.146136,107.865733,817.522727,2.493277,7.514847,1.451535,6.412717,2.4653571428571,26.199409,2.728643,0.314576,5.279773,3.750509,1.412364,4.521727,6.620331,1.202566,25.289091,0.0850237523082,3.671,0.645189,1,0.474562
1996-09-01,55.551233,1,1.260896,1.019425,1.369448,411.844444,8.33411,27.5,1040.124333,0.78802,26.580284,5.80057,7.732775,156.669522,66.79,35.87,2329.121429,3.166895,109.870911,822.4,2.50092,7.545474,1.435252,6.458046,2.4904047619048,26.235571,2.77819,0.32059,5.370238,3.750538,1.408585,4.499546,6.639065,1.231772,25.407,0.0889499480618,3.671,0.641299,1,0.475671
1996-10-01,55.796013,1,1.262903,1.02535,1.351316,415.552609,8.329905,27.532273,1015.464516,0.79468,27.092473,5.858438,7.732191,159.049089,67.055217,35.803636,2323.863913,3.225348,112.357758,828.236364,2.507382,7.729519,1.426652,6.483847,2.5537045454545,26.269304,2.817609,0.330152,5.431391,3.750461,1.412445,4.576781,6.599716,1.258152,25.474091,0.0938649752895,3.671,0.63077,1,0.470047
1996-11-01,55.443981,1,1.255428,1.0303736842105,1.338343,420.03,8.329395,27.521579,998.663333,0.783172,26.842606,5.806379,7.732347,159.409968,66.247143,35.839158,2337.55381,3.244381,112.267102,830.563158,2.5234,7.907583,1.407975,6.357307,2.5832,26.265778,2.816921,0.348762,5.481,3.750476,1.402547,4.655284,6.627369,1.274442,25.458947,0.098613932873,3.671,0.601497,1,0.471619
1996-12-01,56.176236,1,1.254176,1.0371714285714,1.361769,422.41,8.329014,27.51619,1001.605484,0.799853,27.352754,5.93918,7.735548,163.804509,67.039,35.881524,2355.270455,3.276474,113.873493,841.919048,2.525052,7.877153,1.418527,6.469125,2.583380952381,26.292474,2.858684,0.380135,5.535591,3.750559,1.399943,4.684625,6.82389,1.327071,25.6,0.1046704250101,3.671,0.601198,1,0.475157
1997-01-01,57.136091,1,1.286083,1.0425523809524,1.349831,423.793182,8.325967,27.476667,1024.295161,0.822553,27.533928,6.116313,7.73969,166.098507,68.33,35.903667,2369.831818,3.276136,117.826656,854.071429,2.489962,7.828415,1.425909,6.449517,2.62525,26.317318,2.934046,0.49715,5.596087,3.750509,1.406062,4.641996,7.056899,1.390635,25.725714,0.1121642459734,3.671,0.602356,1,0.476682
1997-02-01,57.333585,1,1.302606,1.0487894736842,1.354631,416.1915,8.322742,27.554211,1072.948929,0.857884,28.227167,6.388255,7.747416,173.317189,70.4255,35.890526,2384.347222,3.336647,122.929094,868.394737,2.486568,7.802382,1.447038,6.635406,2.638125,26.34105,3.02985,0.697481,5.653825,3.75049,1.419347,4.455329,7.404016,1.453641,25.956842,0.1191145223184,3.671,0.615082,1,0.474465
1997-03-01,57.104324,1,1.268472,1.0570047619048,1.370864,414.053,8.325752,27.550952,1062.013548,0.869782,29.210503,6.471862,7.745971,176.860669,71.143889,35.884762,2409.157895,3.366556,122.572183,882.619048,2.477276,7.963448,1.432225,6.812154,2.6331578947368,26.331947,3.079342,0.774401,5.7035,3.750471,1.43781,4.435372,7.659711,1.465017,25.958571,0.1247024987545,3.671,0.622786,1,0.478486
1997-04-01,57.301629,1,1.283613,1.0610045454545,1.393572,417.58,8.325659,27.628636,1060.249333,0.873447,29.943526,6.517147,7.748264,179.768101,71.181429,35.828136,2425.3,3.389947,125.555351,895.568182,2.502814,7.907431,1.444174,6.97895,2.6608636363636,26.364227,3.1215,0.705049,5.747273,3.750527,1.4417,4.442534,7.680746,1.461653,26.064091,0.1312124281179,3.671,0.613776,1,0.479512
1997-05-01,56.992318,1,1.292507,1.068,1.379294,418.608947,8.322852,27.790952,1074.53129,0.870107,31.12196,6.485529,7.743062,181.434942,70.394211,35.82481,2436.75,3.3988,118.613626,894.666667,2.507,7.895931,1.445826,7.06874,2.6636666666667,26.3721,3.1725,0.709106,5.769682,3.750518,1.436771,4.468166,7.673835,1.430079,25.750476,0.1374133337281,3.671,0.612159,1,0.483663
1997-06-01,57.308695,1,1.326432,1.0746142857143,1.384271,417.415238,8.322371,27.902857,1082.212667,0.879807,32.376499,6.576998,7.74449,185.038641,70.42,35.82019,2445.47619,3.453,114.286681,891.404762,2.516676,7.950206,1.454565,7.218193,2.6556428571429,26.3761,3.237714,0.716943,5.779738,3.750543,1.4271,4.499635,7.749608,1.442305,24.534286,0.1441871731542,3.671,0.608175,1,0.485776
1997-07-01,58.227748,1,1.3476,1.0804772727273,1.376605,416.608261,8.316182,28.032273,1102.514516,0.905336,33.597719,6.82324,7.745373,191.90874,71.09913,35.747364,2511.727273,3.544,115.148691,893.090909,2.581495,7.871232,1.511229,7.442575,2.651619047619,27.667913,3.400174,0.716426,5.787348,3.750461,1.452082,4.558366,7.810719,1.480848,30.274091,0.1535797530591,3.671,0.598284,1,0.492593
1997-08-01,59.550271,1,1.349161,1.0878619047619,1.389162,414.8525,8.318681,28.82381,1133.596774,0.932364,34.213079,7.013281,7.74359,197.879619,72.6065,36.008476,2722.888889,3.53005,117.879163,898.709524,2.758857,7.783696,1.556931,7.624633,2.6536738095238,29.3305,3.48335,0.744541,5.811024,3.750514,1.497714,4.684746,7.985287,1.513253,32.398571,0.1637121579989,3.671,0.62388,1,0.495937
1997-09-01,58.400264,1,1.381291,1.0935476190476,1.386545,414.898947,8.31707,28.731429,1222.827333,0.909275,33.607354,6.812792,7.743952,195.956749,71.718182,36.475571,3003.181818,3.507909,120.725384,912.504762,3.025429,7.77777,1.571921,7.319383,2.6440681818182,32.3945,3.458295,0.752881,5.846205,3.750518,1.516357,4.690772,7.704283,1.472445,35.255714,0.1703897455335,3.671,0.625036,1,0.496905
