Sum of weight,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,ARE,ARG,AUS,BGD,BRA,CAN,CHE,CHL,CHN,COL,CZE,DNK,DZA,G163,GBR,HKG,HUN,IDN,IND,ISL,ISR,JPN,KHM,KOR,MEX,MYS,NOR,NZL,PAK,PER,PHL,POL,ROU,RUS,SAU,SGP,SWE,THA,TUR,USA,VEN,VNM,ZAF,Grand Total
01/01/1998,1,1,1,1,1,1,1,1,1,1,1,1,0.991439432,1,1,1,0.99395043,1,1,1,1,1,0.957732589,1,1,1,1,1,1,1,0.98540739,1,1,1,1,1,1,1,1,1,1,1,,41.92852984
01/01/1999,1,0.985001186,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.993996291,1,0.9911565,1,,41.97015398
01/01/2000,0.982903862,0.987211179,1,1,1,1,1,1,1,1,1,1,0.997990433,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998081585,0.993849411,1,0.992947521,1,0.979358865,42.93234286
01/01/2001,0.991679987,0.992327761,1,1,1,1,1,1,1,1,1,1,0.992700177,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.994620246,1,0.994084386,1,0.979280815,42.94469337
01/01/2002,0.995889174,1,1,0.977366066,1,1,1,1,1,1,1,1,0.992433968,1,1,1,1,1,1,1,1,1,0.997179476,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.983566493,42.94643518
01/01/2003,0.987136292,0.99256171,1,0.980076256,1,1,1,1,1,1,1,1,0.989321584,1,1,1,1,1,1,1,0.989765637,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.970583693,1,1,1,1,1,1,1,42.90944517
01/01/2004,0.978413768,0.996235083,1,0.981514565,1,1,1,0.998176068,1,1,1,1,1,1,1,1,1,1,1,1,0.989302298,1,0.993282044,1,1,1,1,1,0.996055377,1,1,1,1,1,1,0.942484425,1,1,1,1,1,1,1,42.87546363
01/01/2005,1,0.996574496,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.988593051,1,0.986589626,1,1,1,1,1,0.996055377,1,1,1,1,1,1,1,1,1,1,1,1,1,0.973601083,42.94141363
01/01/2006,1,0.991504728,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.992506864,1,1,1,1,1,1,1,1,1,1,1,1,1,0.973484366,42.95749596
01/01/2007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.993002435,1,1,1,1,1,1,1,1,1,1,1,0.982379261,1,0.97599068,42.95137238
