Date,reporter,partner,indicator,value
1997-01-01,DZA,ARG,XG_FOB_USD,18630399.7671007
1998-01-01,DZA,ARG,XG_FOB_USD,13779696.1840346
1999-01-01,DZA,ARG,XG_FOB_USD,12651989.9885653
2000-01-01,DZA,ARG,XG_FOB_USD,15813084.0
2001-01-01,DZA,ARG,XG_FOB_USD,17431620.0
2002-01-01,DZA,ARG,XG_FOB_USD,24973344.0
2003-01-01,DZA,ARG,XG_FOB_USD,103980.0
2004-01-01,DZA,ARG,XG_FOB_USD,221736.0
2005-01-01,DZA,ARG,XG_FOB_USD,96408.0
2006-01-01,DZA,ARG,XG_FOB_USD,15728040.0
2007-01-01,DZA,ARG,XG_FOB_USD,95309868.0
2008-01-01,DZA,ARG,XG_FOB_USD,131028.0
2009-01-01,DZA,ARG,XG_FOB_USD,5172.0
2010-01-01,DZA,ARG,XG_FOB_USD,57612.0
2011-01-01,DZA,ARG,XG_FOB_USD,60696.0
2016-01-01,DZA,ARG,XG_FOB_USD,56131508.0
2017-01-01,DZA,ARG,XG_FOB_USD,17262049.0
2018-01-01,DZA,ARG,XG_FOB_USD,76331030.0
2019-01-01,DZA,ARG,XG_FOB_USD,51173829.0
2020-01-01,DZA,ARG,XG_FOB_USD,70272124.0
2021-01-01,DZA,ARG,XG_FOB_USD,24760215.0
2022-01-01,DZA,ARG,XG_FOB_USD,86726241.0
2023-01-01,DZA,ARG,XG_FOB_USD,51946883.0
2024-01-01,DZA,ARG,XG_FOB_USD,93104075.0
1996-01-01,DZA,AUS,XG_FOB_USD,152000.0
1998-01-01,DZA,AUS,XG_FOB_USD,470999.159416486
1999-01-01,DZA,AUS,XG_FOB_USD,10468746.1860978
2001-01-01,DZA,AUS,XG_FOB_USD,22676460.0
2002-01-01,DZA,AUS,XG_FOB_USD,36985164.0
2004-01-01,DZA,AUS,XG_FOB_USD,17774448.0
2005-01-01,DZA,AUS,XG_FOB_USD,32447352.0
2006-01-01,DZA,AUS,XG_FOB_USD,10752.0
2007-01-01,DZA,AUS,XG_FOB_USD,90444204.0
2008-01-01,DZA,AUS,XG_FOB_USD,95954928.0
2009-01-01,DZA,AUS,XG_FOB_USD,48622188.0
2010-01-01,DZA,AUS,XG_FOB_USD,27192264.0
2011-01-01,DZA,AUS,XG_FOB_USD,23292.0
2012-01-01,DZA,AUS,XG_FOB_USD,32855604.0
2013-01-01,DZA,AUS,XG_FOB_USD,75713556.0
2014-01-01,DZA,AUS,XG_FOB_USD,1607448.0
2015-01-01,DZA,AUS,XG_FOB_USD,2045820.0
2016-01-01,DZA,AUS,XG_FOB_USD,175365178.0
2017-01-01,DZA,AUS,XG_FOB_USD,171214852.0
2018-01-01,DZA,AUS,XG_FOB_USD,246924547.0
2019-01-01,DZA,AUS,XG_FOB_USD,520773871.0
2020-01-01,DZA,AUS,XG_FOB_USD,150446253.0
2021-01-01,DZA,AUS,XG_FOB_USD,74789705.0
2022-01-01,DZA,AUS,XG_FOB_USD,167200873.0
2023-01-01,DZA,AUS,XG_FOB_USD,11693.0
2024-01-01,DZA,AUS,XG_FOB_USD,80559951.0
1996-01-01,DZA,BGD,XG_FOB_USD,1788000.0
1997-01-01,DZA,BGD,XG_FOB_USD,660401.144741528
1998-01-01,DZA,BGD,XG_FOB_USD,634008.519331647
2003-01-01,DZA,BGD,XG_FOB_USD,1419096.0
2004-01-01,DZA,BGD,XG_FOB_USD,1198.0
2005-01-01,DZA,BGD,XG_FOB_USD,138713736.0
2006-01-01,DZA,BGD,XG_FOB_USD,830633.0
2008-01-01,DZA,BGD,XG_FOB_USD,3653335.0
2009-01-01,DZA,BGD,XG_FOB_USD,1530808.0
2012-01-01,DZA,BGD,XG_FOB_USD,38944.0
2013-01-01,DZA,BGD,XG_FOB_USD,36593.0
2014-01-01,DZA,BGD,XG_FOB_USD,110782.0
2015-01-01,DZA,BGD,XG_FOB_USD,629977.0
2016-01-01,DZA,BGD,XG_FOB_USD,877628.0
2017-01-01,DZA,BGD,XG_FOB_USD,1203222.0
2018-01-01,DZA,BGD,XG_FOB_USD,1399861.0
2019-01-01,DZA,BGD,XG_FOB_USD,48182147.0
2020-01-01,DZA,BGD,XG_FOB_USD,17917703.0
2021-01-01,DZA,BGD,XG_FOB_USD,130019267.0
2022-01-01,DZA,BGD,XG_FOB_USD,67281649.0
2023-01-01,DZA,BGD,XG_FOB_USD,67382675.0
2024-01-01,DZA,BGD,XG_FOB_USD,33105145.0
1996-01-01,DZA,BRA,XG_FOB_USD,565872000.0
1997-01-01,DZA,BRA,XG_FOB_USD,737121319.901191
1998-01-01,DZA,BRA,XG_FOB_USD,644171212.320046
1999-01-01,DZA,BRA,XG_FOB_USD,980492633.183813
2000-01-01,DZA,BRA,XG_FOB_USD,1503080467.0
2001-01-01,DZA,BRA,XG_FOB_USD,987090625.0
2002-01-01,DZA,BRA,XG_FOB_USD,910379010.0
2003-01-01,DZA,BRA,XG_FOB_USD,1124615823.0
2004-01-01,DZA,BRA,XG_FOB_USD,848883075.0
2005-01-01,DZA,BRA,XG_FOB_USD,2925737412.0
2006-01-01,DZA,BRA,XG_FOB_USD,1892283928.0
2007-01-01,DZA,BRA,XG_FOB_USD,1826192516.0
2008-01-01,DZA,BRA,XG_FOB_USD,2638540308.0
2009-01-01,DZA,BRA,XG_FOB_USD,1465880776.0
2010-01-01,DZA,BRA,XG_FOB_USD,2415434936.0
2011-01-01,DZA,BRA,XG_FOB_USD,3236260138.0
2012-01-01,DZA,BRA,XG_FOB_USD,3395477681.0
2013-01-01,DZA,BRA,XG_FOB_USD,2658058295.0
2014-01-01,DZA,BRA,XG_FOB_USD,2915439858.0
2015-01-01,DZA,BRA,XG_FOB_USD,1546611727.0
2016-01-01,DZA,BRA,XG_FOB_USD,1492163985.0
2017-01-01,DZA,BRA,XG_FOB_USD,2129891889.0
2018-01-01,DZA,BRA,XG_FOB_USD,2244858575.0
2019-01-01,DZA,BRA,XG_FOB_USD,1240325946.0
2020-01-01,DZA,BRA,XG_FOB_USD,648066883.0
2021-01-01,DZA,BRA,XG_FOB_USD,1161548617.0
2022-01-01,DZA,BRA,XG_FOB_USD,1228977566.0
2023-01-01,DZA,BRA,XG_FOB_USD,1097738915.0
2024-01-01,DZA,BRA,XG_FOB_USD,1312387571.0
1996-01-01,DZA,CAN,XG_FOB_USD,404214000.0
1997-01-01,DZA,CAN,XG_FOB_USD,464237016.601871
1998-01-01,DZA,CAN,XG_FOB_USD,365677186.13782
1999-01-01,DZA,CAN,XG_FOB_USD,411912705.997661
2000-01-01,DZA,CAN,XG_FOB_USD,779934092.0
2001-01-01,DZA,CAN,XG_FOB_USD,663435430.0
2002-01-01,DZA,CAN,XG_FOB_USD,927599180.0
2003-01-01,DZA,CAN,XG_FOB_USD,1395997018.0
2004-01-01,DZA,CAN,XG_FOB_USD,819305162.0
2005-01-01,DZA,CAN,XG_FOB_USD,2265286654.0
2006-01-01,DZA,CAN,XG_FOB_USD,3579039475.0
2007-01-01,DZA,CAN,XG_FOB_USD,4671109618.0
2008-01-01,DZA,CAN,XG_FOB_USD,5423608510.0
2009-01-01,DZA,CAN,XG_FOB_USD,2438899530.0
2010-01-01,DZA,CAN,XG_FOB_USD,2970833993.0
2011-01-01,DZA,CAN,XG_FOB_USD,4461823556.0
2012-01-01,DZA,CAN,XG_FOB_USD,5082070106.0
2013-01-01,DZA,CAN,XG_FOB_USD,3050928165.0
2014-01-01,DZA,CAN,XG_FOB_USD,1313903495.0
2015-01-01,DZA,CAN,XG_FOB_USD,653187458.0
2016-01-01,DZA,CAN,XG_FOB_USD,1394615187.0
2017-01-01,DZA,CAN,XG_FOB_USD,668485241.0
2018-01-01,DZA,CAN,XG_FOB_USD,296025295.0
2019-01-01,DZA,CAN,XG_FOB_USD,65297483.0
2020-01-01,DZA,CAN,XG_FOB_USD,192455806.0
2021-01-01,DZA,CAN,XG_FOB_USD,298378610.0
2022-01-01,DZA,CAN,XG_FOB_USD,594227699.0
2023-01-01,DZA,CAN,XG_FOB_USD,190364652.0
2024-01-01,DZA,CAN,XG_FOB_USD,322985871.0
1998-01-01,DZA,CHL,XG_FOB_USD,4259881.46708424
1999-01-01,DZA,CHL,XG_FOB_USD,7186768.08282528
2000-01-01,DZA,CHL,XG_FOB_USD,35929008.0
2003-01-01,DZA,CHL,XG_FOB_USD,211416.0
2009-01-01,DZA,CHL,XG_FOB_USD,23196.0
2010-01-01,DZA,CHL,XG_FOB_USD,35076.0
2011-01-01,DZA,CHL,XG_FOB_USD,8472.0
2013-01-01,DZA,CHL,XG_FOB_USD,62736.0
2014-01-01,DZA,CHL,XG_FOB_USD,295440.0
2015-01-01,DZA,CHL,XG_FOB_USD,3181020.0
2016-01-01,DZA,CHL,XG_FOB_USD,42482853.0
2017-01-01,DZA,CHL,XG_FOB_USD,691372660.0
2018-01-01,DZA,CHL,XG_FOB_USD,1308136958.0
2021-01-01,DZA,CHL,XG_FOB_USD,36434.0
2022-01-01,DZA,CHL,XG_FOB_USD,4888122.0
2023-01-01,DZA,CHL,XG_FOB_USD,14351.0
2024-01-01,DZA,CHL,XG_FOB_USD,10135636.0
1997-01-01,DZA,CHN,XG_FOB_USD,11910025.3260633
1998-01-01,DZA,CHN,XG_FOB_USD,23544.8506279549
1999-01-01,DZA,CHN,XG_FOB_USD,53937674.5006957
2000-01-01,DZA,CHN,XG_FOB_USD,10968590.0
2002-01-01,DZA,CHN,XG_FOB_USD,77458818.0
2003-01-01,DZA,CHN,XG_FOB_USD,89356297.0
2004-01-01,DZA,CHN,XG_FOB_USD,140658960.0
2005-01-01,DZA,CHN,XG_FOB_USD,273510671.0
2006-01-01,DZA,CHN,XG_FOB_USD,13842352.0
2007-01-01,DZA,CHN,XG_FOB_USD,1107462460.0
2008-01-01,DZA,CHN,XG_FOB_USD,503332077.0
2009-01-01,DZA,CHN,XG_FOB_USD,874396808.0
2010-01-01,DZA,CHN,XG_FOB_USD,1173443753.0
2011-01-01,DZA,CHN,XG_FOB_USD,2175392058.0
2012-01-01,DZA,CHN,XG_FOB_USD,2596664517.0
2013-01-01,DZA,CHN,XG_FOB_USD,2178633412.0
2014-01-01,DZA,CHN,XG_FOB_USD,2053873575.0
2015-01-01,DZA,CHN,XG_FOB_USD,654127998.0
2016-01-01,DZA,CHN,XG_FOB_USD,320784955.0
2019-01-01,DZA,CHN,XG_FOB_USD,1691946966.0
2020-01-01,DZA,CHN,XG_FOB_USD,1176678370.0
2021-01-01,DZA,CHN,XG_FOB_USD,1752365512.0
2022-01-01,DZA,CHN,XG_FOB_USD,1958263099.0
2023-01-01,DZA,CHN,XG_FOB_USD,2116769529.0
2024-01-01,DZA,CHN,XG_FOB_USD,2001055904.0
2000-01-01,DZA,COL,XG_FOB_USD,10813284.0
2002-01-01,DZA,COL,XG_FOB_USD,576.0
2006-01-01,DZA,COL,XG_FOB_USD,259080.0
2007-01-01,DZA,COL,XG_FOB_USD,662148.0
2009-01-01,DZA,COL,XG_FOB_USD,1728.0
2011-01-01,DZA,COL,XG_FOB_USD,32182560.0
2012-01-01,DZA,COL,XG_FOB_USD,60264.0
2013-01-01,DZA,COL,XG_FOB_USD,27012.0
2014-01-01,DZA,COL,XG_FOB_USD,41454948.0
2016-01-01,DZA,COL,XG_FOB_USD,84.0
2017-01-01,DZA,COL,XG_FOB_USD,1713550.0
2018-01-01,DZA,COL,XG_FOB_USD,9717669.0
2019-01-01,DZA,COL,XG_FOB_USD,22744765.0
2020-01-01,DZA,COL,XG_FOB_USD,19250667.0
2021-01-01,DZA,COL,XG_FOB_USD,49840.0
2022-01-01,DZA,COL,XG_FOB_USD,62551383.0
2023-01-01,DZA,COL,XG_FOB_USD,143325946.0
2024-01-01,DZA,COL,XG_FOB_USD,48204487.0
1996-01-01,DZA,CZE,XG_FOB_USD,44000.0
1997-01-01,DZA,CZE,XG_FOB_USD,13531621.1886354
1998-01-01,DZA,CZE,XG_FOB_USD,17054881.9458976
1999-01-01,DZA,CZE,XG_FOB_USD,15846155.8681991
2000-01-01,DZA,CZE,XG_FOB_USD,7840740.0
2001-01-01,DZA,CZE,XG_FOB_USD,100056.0
2002-01-01,DZA,CZE,XG_FOB_USD,713028.0
2003-01-01,DZA,CZE,XG_FOB_USD,4330200.0
2004-01-01,DZA,CZE,XG_FOB_USD,1431672.0
2005-01-01,DZA,CZE,XG_FOB_USD,1036884.0
2006-01-01,DZA,CZE,XG_FOB_USD,18228.0
2007-01-01,DZA,CZE,XG_FOB_USD,647424.0
2008-01-01,DZA,CZE,XG_FOB_USD,56376.0
2009-01-01,DZA,CZE,XG_FOB_USD,103860.0
2010-01-01,DZA,CZE,XG_FOB_USD,4704.0
2011-01-01,DZA,CZE,XG_FOB_USD,179484.0
2012-01-01,DZA,CZE,XG_FOB_USD,99840.0
2013-01-01,DZA,CZE,XG_FOB_USD,158760.0
2014-01-01,DZA,CZE,XG_FOB_USD,303120.0
2015-01-01,DZA,CZE,XG_FOB_USD,33936.0
2016-01-01,DZA,CZE,XG_FOB_USD,7459.0
2017-01-01,DZA,CZE,XG_FOB_USD,376009.0
2018-01-01,DZA,CZE,XG_FOB_USD,381453.0
2019-01-01,DZA,CZE,XG_FOB_USD,17744.0
2020-01-01,DZA,CZE,XG_FOB_USD,46727.0
2021-01-01,DZA,CZE,XG_FOB_USD,412367.0
2022-01-01,DZA,CZE,XG_FOB_USD,351168.0
2023-01-01,DZA,CZE,XG_FOB_USD,297618.0
2024-01-01,DZA,CZE,XG_FOB_USD,610477.0
