Date,reporter,partner,weight
1996-03-01,ARG,ARE,0.0
1996-04-01,ARG,ARE,0.0
1996-05-01,ARG,ARE,0.0
1996-06-01,ARG,ARE,0.0
1996-07-01,ARG,ARE,0.0
1996-08-01,ARG,ARE,0.0
1996-09-01,ARG,ARE,0.0
1996-10-01,ARG,ARE,0.0
1996-11-01,ARG,ARE,0.0
1996-12-01,ARG,ARE,0.0
1999-11-01,ARG,ARE,0.005776217334831807
1999-12-01,ARG,ARE,0.005944412716878702
2000-01-01,ARG,ARE,0.004039884368694988
2000-02-01,ARG,ARE,0.0020413494101782195
2000-03-01,ARG,ARE,0.0
2000-04-01,ARG,ARE,0.0
2000-05-01,ARG,ARE,0.0
2000-06-01,ARG,ARE,0.0
2000-07-01,ARG,ARE,0.0
2000-08-01,ARG,ARE,0.0
2000-09-01,ARG,ARE,0.0
2000-10-01,ARG,ARE,0.0
2000-11-01,ARG,ARE,0.0
2000-12-01,ARG,ARE,0.0
2001-01-01,ARG,ARE,0.0
2001-02-01,ARG,ARE,0.0
2001-03-01,ARG,ARE,0.0
2001-04-01,ARG,ARE,0.0
2001-05-01,ARG,ARE,0.0
2001-06-01,ARG,ARE,0.0
2001-07-01,ARG,ARE,0.0
2001-08-01,ARG,ARE,0.0
2001-09-01,ARG,ARE,0.0
2001-10-01,ARG,ARE,0.0
2001-11-01,ARG,ARE,0.0
2001-12-01,ARG,ARE,0.0
2002-01-01,ARG,ARE,0.0
2002-02-01,ARG,ARE,0.0018682924718703238
2002-03-01,ARG,ARE,0.0018682924718703238
2002-04-01,ARG,ARE,0.0018682924718703238
2002-05-01,ARG,ARE,0.0
2002-06-01,ARG,ARE,0.0
2002-07-01,ARG,ARE,0.0
2002-08-01,ARG,ARE,0.0
2002-09-01,ARG,ARE,0.0
2002-10-01,ARG,ARE,0.0
2002-11-01,ARG,ARE,0.0
2002-12-01,ARG,ARE,0.0
2003-01-01,ARG,ARE,0.002062969584117649
2003-02-01,ARG,ARE,0.004188037791663911
2003-03-01,ARG,ARE,0.006182847486432583
2003-04-01,ARG,ARE,0.005983639356257185
2003-05-01,ARG,ARE,0.005655133241426817
2003-06-01,ARG,ARE,0.003660323546658146
2003-07-01,ARG,ARE,0.0017965620927158949
2003-08-01,ARG,ARE,0.0
2003-09-01,ARG,ARE,0.0
2003-10-01,ARG,ARE,0.0
2003-11-01,ARG,ARE,0.0
2003-12-01,ARG,ARE,0.0
2004-01-01,ARG,ARE,0.0018420079844753507
2004-02-01,ARG,ARE,0.0018420079844753507
2004-03-01,ARG,ARE,0.0018420079844753507
2004-04-01,ARG,ARE,0.0
2004-05-01,ARG,ARE,0.0
2004-06-01,ARG,ARE,0.0
2004-07-01,ARG,ARE,0.0
2004-08-01,ARG,ARE,0.0
2004-09-01,ARG,ARE,0.0
2004-10-01,ARG,ARE,0.0
2004-11-01,ARG,ARE,0.0
2004-12-01,ARG,ARE,0.0
2005-01-01,ARG,ARE,0.0
2005-02-01,ARG,ARE,0.0
2005-03-01,ARG,ARE,0.0
2005-04-01,ARG,ARE,0.0
2005-05-01,ARG,ARE,0.0
2005-06-01,ARG,ARE,0.0
2005-07-01,ARG,ARE,0.0
2005-08-01,ARG,ARE,0.0
2005-09-01,ARG,ARE,0.0
2005-10-01,ARG,ARE,0.0
2005-11-01,ARG,ARE,0.0
2005-12-01,ARG,ARE,0.0
2006-01-01,ARG,ARE,0.0
2006-02-01,ARG,ARE,0.0
2006-03-01,ARG,ARE,0.0
2006-04-01,ARG,ARE,0.0
2006-05-01,ARG,ARE,0.0
