,Date,reporter,partner,import_export,weight
0,1996-01-01,ARE,ARG,26307878.18181818,0.0006220840677533269
1,1996-01-01,ARE,AUS,859520084.436312,0.020324472644523642
2,1996-01-01,ARE,BGD,57840997.4096404,0.0013677257703118943
3,1996-01-01,ARE,BRA,171899255.0,0.004064781927874045
4,1996-01-01,ARE,CAN,146735451.515621,0.0034697509974614747
5,1996-01-01,ARE,CHE,278744092.3475926,0.006591267362247429
6,1996-01-01,ARE,CHL,52190909.09090909,0.0012341220680220195
7,1996-01-01,ARE,CHN,1931488181.8181818,0.04567255544741507
8,1996-01-01,ARE,COL,,
9,1996-01-01,ARE,CZE,35085653.27069491,0.0008296460001666415
10,1996-01-01,ARE,DNK,131624268.7294658,0.003112427385454168
11,1996-01-01,ARE,DZA,,
12,1996-01-01,ARE,G163,5380641707.435797,0.12723228598489486
13,1996-01-01,ARE,GBR,2278712460.758025,0.05388312607469191
14,1996-01-01,ARE,HKG,414750714.576752,0.009807321207904174
15,1996-01-01,ARE,HUN,14740000.0,0.00034854651125081033
16,1996-01-01,ARE,IDN,615798181.8181818,0.014561350604295756
17,1996-01-01,ARE,IND,2920552055.51171,0.06906025982869672
18,1996-01-01,ARE,JPN,12737683806.3051,0.301199135149497
19,1996-01-01,ARE,KOR,3289181818.18182,0.07777699101742677
20,1996-01-01,ARE,MEX,,
21,1996-01-01,ARE,MYS,434313418.3422429,0.010269906835319028
22,1996-01-01,ARE,NOR,67436194.59747979,0.0015946167136351645
23,1996-01-01,ARE,NZL,71526268.7041295,0.0016913318466494137
24,1996-01-01,ARE,PAK,805929894.327232,0.019057262753086227
25,1996-01-01,ARE,PER,,
26,1996-01-01,ARE,PHL,342636363.636364,0.00810208339030656
27,1996-01-01,ARE,POL,25259090.90909091,0.0005972841257619197
28,1996-01-01,ARE,ROU,,
29,1996-01-01,ARE,RUS,61692090.9090909,0.0014587898953956218
30,1996-01-01,ARE,SAU,1109505643.888822,0.026235707014283103
31,1996-01-01,ARE,SGP,2097122394.57463,0.04958919228595201
32,1996-01-01,ARE,SWE,195533377.4024057,0.004623641555406822
33,1996-01-01,ARE,THA,1195046898.561605,0.028258441470471404
34,1996-01-01,ARE,TUR,227955583.6363636,0.005390306879009284
35,1996-01-01,ARE,TWN,1099440000.0,0.02599769174556248
36,1996-01-01,ARE,USA,2983090909.090909,0.0705390725310478
37,1996-01-01,ARE,VEN,,
38,1996-01-01,ARE,VNM,24449999.99999999,0.000578152116694865
39,1996-01-01,ARE,ZAF,205472657.666705,0.004858668791530672
40,1996-01-01,ARG,ARE,37846966.0,0.0008864080394533389
41,1996-01-01,ARG,AUS,161057177.0,0.003772095668235583
42,1996-01-01,ARG,BGD,74919673.0,0.001754682276524233
43,1996-01-01,ARG,BRA,11941951131.0,0.2796906227378251
44,1996-01-01,ARG,CAN,380159154.0,0.008903649776771536
45,1996-01-01,ARG,CHE,325509803.0,0.007623715631527044
46,1996-01-01,ARG,CHL,2325231091.0,0.054458884039720865
47,1996-01-01,ARG,CHN,1305334280.0,0.03057203581301697
48,1996-01-01,ARG,COL,231533725.0,0.005422716189312996
49,1996-01-01,ARG,CZE,19855655.0,0.00046503627848562247
50,1996-01-01,ARG,DNK,265171478.0,0.006210540890726199
51,1996-01-01,ARG,DZA,106006486.0,0.0024827617998387985
52,1996-01-01,ARG,G163,10123306841.0,0.23709643118329177
53,1996-01-01,ARG,GBR,1009215769.0,0.02363668916511521
54,1996-01-01,ARG,HKG,305681807.0,0.007159327150277354
55,1996-01-01,ARG,HUN,23140713.0,0.0005419751227055397
56,1996-01-01,ARG,IDN,301023352.0,0.0070502221836221245
57,1996-01-01,ARG,IND,352662695.0,0.008259659388900047
58,1996-01-01,ARG,ISL,,
59,1996-01-01,ARG,ISR,151840192.0,0.0035562260631655006
60,1996-01-01,ARG,JPN,1237760674.0,0.028989404655389902
61,1996-01-01,ARG,KHM,,
62,1996-01-01,ARG,KOR,632090672.0,0.014804099576284754
63,1996-01-01,ARG,MEX,789214867.0,0.018484081470755084
64,1996-01-01,ARG,MYS,421034847.0,0.009860993171045903
65,1996-01-01,ARG,NOR,88586528.0,0.002074771610661164
66,1996-01-01,ARG,NZL,33311718.0,0.0007801886852225485
67,1996-01-01,ARG,PAK,83928728.0,0.0019656819846614005
68,1996-01-01,ARG,PER,291247124.0,0.006821254633231723
69,1996-01-01,ARG,PHL,83963263.0,0.001966490823648455
70,1996-01-01,ARG,POL,74086931.0,0.001735178752685877
71,1996-01-01,ARG,ROU,106410781.0,0.002492230731597048
72,1996-01-01,ARG,RUS,248905244.0,0.005829571896032431
73,1996-01-01,ARG,SAU,72588754.0,0.001700090176832159
74,1996-01-01,ARG,SGP,146735140.0,0.003436661416038242
75,1996-01-01,ARG,SWE,324503046.0,0.007600136528817043
76,1996-01-01,ARG,THA,216334120.0,0.005066728550343067
77,1996-01-01,ARG,TUR,151752197.0,0.0035541651456422385
78,1996-01-01,ARG,TWN,525085463.0,0.012297946836829105
79,1996-01-01,ARG,USA,6724624957.0,0.15749641924251903
80,1996-01-01,ARG,VEN,643876701.0,0.015080138370486386
81,1996-01-01,ARG,VNM,7489153.0,0.0001754023143597849
82,1996-01-01,ARG,ZAF,352023292.0,0.008244684028400857
83,1996-01-01,AUS,ARE,1015917622.116719,0.008413946010271824
84,1996-01-01,AUS,ARG,153755106.93077707,0.0012734173916814854
85,1996-01-01,AUS,BGD,194169142.82579708,0.0016081310620373467
86,1996-01-01,AUS,BRA,638359564.8953819,0.005286966971770144
87,1996-01-01,AUS,CAN,2252899489.89825,0.01865877140222987
88,1996-01-01,AUS,CHE,1334033845.098942,0.011048620974947748
89,1996-01-01,AUS,CHL,224885696.1810911,0.0018625290721974504
90,1996-01-01,AUS,CHN,6578516868.021521,0.05448402956124354
91,1996-01-01,AUS,COL,43556291.6319454,0.0003607381919759021
92,1996-01-01,AUS,CZE,70641766.3823759,0.0005850631935817113
93,1996-01-01,AUS,DNK,402764801.7136165,0.003335744181103358
94,1996-01-01,AUS,DZA,15325026.851402873,0.000126923626213913
95,1996-01-01,AUS,G163,14986107290.94198,0.12411665562745793
96,1996-01-01,AUS,GBR,6468180604.7071495,0.0535702120013434
97,1996-01-01,AUS,HKG,3107103122.6597424,0.02573338364574848
98,1996-01-01,AUS,HUN,30456661.515752867,0.00025224555620241654
